,data,label
0,oxford_parser = subparsers.add_parser('oxford'),0.0
1,if group is None:,0.0
2,db.session.add(obj),0.0
3,"return self.ThermalConductivityGasMixture(self.T, self.P, self.zs, self.ws)",0.0
4,for i in range(len(data)):,0.0
5,Disassociate a notification template from this workflow.,1.0
6,Args:,1.0
7,"free_socket = socket.socket(socket.AF_INET, socket.SOCK_STREAM)",0.0
8,:type community_id: int | long,1.0
9,return v._make_port_dict(port_db),0.0
10,required if the ``query`` or ``mutation`` uses GraphQL variables.,1.0
11,def timestamp(method='iso8601'):,0.0
12,container_id = cl_args['id'],0.0
13,"for info in assets.get('Corp', [dict()]):",0.0
14,if split.count('1') > 1:,0.0
15,try:,0.0
16,"Vapor pressure of the fluid at `T`, [Pa]",1.0
17,"network.addRegion(""anomalyLikelihoodRegion"", ""py.AnomalyLikelihoodRegion"",",0.0
18,os.remove(read1),0.0
19,"index_page,",0.0
20,"here['METHODS'].append([method, doc])",0.0
21,import dateutil.parser,0.0
22,if name not in _LSSTTEXMF_BIB_CACHE],0.0
23,href = res.get_href(),0.0
24,"if bit_size not in set([1024, 2048, 3072, 4096]):",0.0
25,"security_group_ids=security_group_ids,",0.0
26,if not templates:,0.0
27,if self.inline:,0.0
28,"Return a dict containing all (key, values) stored in '/parameters'",1.0
29,if name_mode == 'sep':,0.0
30,revcomp if orientation is reversed,1.0
31,if not read_params:,0.0
32,a = -9.070217,0.0
33,local_file : str,1.0
34,ax_pnl_per_round_trip_pct.set(,0.0
35,pass,0.0
36,date_expires__gte=datetime.datetime.now())[0],0.0
37,":param str pem: Absolute path to client certificate, as a .pem file",1.0
38,if errScore < self._bestResult:,0.0
39,"If 'tag' is not None, only a specific tag of the record will be stripped,",1.0
40,return False,0.0
41,close = get_matches(package_name),0.0
42,ss = [],0.0
43,magsarefluxes : bool,1.0
44,**kwargs: any additional data one would like to add on a per-use basis.,1.0
45,----------,1.0
46,Notes,1.0
47,that the returned object has get_data() and get_affine() methods.,1.0
48,return tuple([recursive_negate(v_) for v_ in v]),0.0
49,Either an integer indicating tests to perform or a list of test,1.0
50,def dms_to_degrees(v):,0.0
51,Returns RGB values based on a descriptive string.,1.0
52,"def find_in_sections(var_name, app_name):",0.0
53,:rtype: Instruction,1.0
54,match data of the best intent,1.0
55,return features,0.0
56,if is_random:,0.0
57,pixel_scale : float,1.0
58,plots histogram of coverages across clusters,1.0
59,popmins = {},0.0
60,stop_on_error = int(stop_on_error),0.0
61,"'nbestlspvals':funcresults['nbestlspvals'],",0.0
62,"time0, time1 = ignoretime[0], ignoretime[1]",0.0
63,elif _GDB_MI_CONSOLE_RE.match(gdb_mi_text):,0.0
64,-------,1.0
65,data = dict(self.dumps()),0.0
66,"is set, this is ignored.",1.0
67,ROC only for binary classification,1.0
68,genTexts=options.get('genTexts'),0.0
69,"""name {0} __environment__"".format(last+2),",0.0
70,with MutexLocker(self.thread_image_acquisition):,0.0
71,"as in the complementary list, but using the hue of the",1.0
72,return [delta + 0.0 for delta in deltas],0.0
73,"new_arr = _np.append(new_arr, avg)",0.0
74,found_compartments = compartment_finder.findall(reaction_str),0.0
75,">>> samples = bgen[""samples""]",1.0
76,min_n += 1,0.0
77,if (credentials.access_token is None or,0.0
78,if value:,0.0
79,"def convert(self, schema_node, definition_handler):",0.0
80,if self._databaseType == const.REGION_EDITION_REV0:,0.0
81,This method waits until all event loops finish,1.0
82,"List of parsed gdb responses if read_response is True, otherwise []",1.0
83,check if this needs to return data,1.0
84,lines of context.  The number of context lines is set by 'n' which,1.0
85,"sure, if we always get everything before it times out.",1.0
86,hx += np.log(np.abs(delta)),0.0
87,"def publish_collated_tree(cursor, tree):",0.0
88,"return Image.composite(layer, im, layer)",0.0
89,return propNameList,0.0
90,0.03 is a magic number; works well,1.0
91,initial fit coeffs,1.0
92,elif det == 0:,0.0
93,i = 0,0.0
94,">>> print(sequences_add_end_id_after_pad(sequences, end_id=99, pad_id=0))",1.0
95,A package index,1.0
96,"async def _on_event(self, event_):",0.0
97,"def prepare(self, pseudocount=0.0, lenfile=None, read_length=100):",0.0
98,if not pygments:,0.0
99,if matching and len(matching) > 0:,0.0
100,return line,0.0
101,predictions_df = self.predictor.predict_to_dataframe(,0.0
102,forRunning=True),0.0
103,sys.path.append(self.settings_path),0.0
104,"if client_type in (clientsecrets.TYPE_WEB,",0.0
105,used.,1.0
106,"causal_variants = _stdnorm(causal_variants, axis=0)",1.0
107,"smoothedmags = epdsmooth_func(final_mags, epdsmooth_windowsize)",0.0
108,TypeError - when any of the parameters are of the wrong type,1.0
109,"return((kl,vl))",0.0
110,for x in range(4):,0.0
111,returndict['fitplotfile'] = plotfit,0.0
112,obj = self.get(cat),0.0
113,continue,0.0
114,def join_phonemes(*args):,0.0
115,relpeakheights = npzeros(npeaks),0.0
116,total_bit_errors/total_bit_count)),1.0
117,init_zoom : int,1.0
118,if img.dtype == np.float32:,0.0
119,return json_doc_to_xml(doc),0.0
120,'download results.\n',0.0
121,"def synchronize(self, verbose=False):",0.0
122,cell_sizes = [dimension_length / self.__amount_intervals for dimension_length in data_sizes],0.0
123,response = self.protocol.recv(self.socket),0.0
124,">>> minkowski('Colin', 'Cuilen')",1.0
125,"args = tuple(parse_identifier(e, 0)[0]",0.0
126,Bump:    None  Any  One  Many,1.0
127,bits 36 - 40 (1 - 5),1.0
128,block_index -= 1,0.0
129,0.0,1.0
130,df_gpby = df.groupby(col_names),0.0
131,avgInputDensity = proto.avgInputDensity,0.0
132,s._ctx.rotate(-a),0.0
133,params_track_items = {,0.0
134,"def convert_softmax(params, w_name, scope_name, inputs, layers, weights, names):",0.0
135,else:,0.0
136,resultList = json.loads(self.__rawInfo.results),0.0
137,"No warning for all other cases, including whitespace or newline, since we",1.0
138,plt.yticks([]),0.0
139,Seeks to a given position in a track.,1.0
140,return snippet,0.0
141,Example,1.0
142,"V_over_F = newton(Rachford_Rice_flash_error, x0=x0, args=(zs, Ks))",0.0
143,"program_details.get('weeks_to_complete_min'),",0.0
144,:param response:,1.0
145,def sigma_prime(self):,0.0
146,See :func:`imgaug.augmenters.meta.Augmenter.__init__`.,1.0
147,listTag = [],0.0
148,Create and activate the SAP_USE_ENTERPRISE_ENROLLMENT_PAGE switch if it does not already exist.,1.0
149,"ret = AUTO_IT.AU3_WinSetTrans(LPCWSTR(title), LPCWSTR(text), INT(trans))",0.0
150,"if isinstance(options.get('max_age'), timedelta):",0.0
151,"delim = """"",0.0
152,false otherwise,1.0
153,return round(temporary_distance),0.0
154,----------,1.0
155,"for colind, column in enumerate(lcdict['columns']):",0.0
156,Returns,1.0
157,aad_metadata = client.get_aad_metadata(),0.0
158,if (target_first_component and include_first_component and,0.0
159,elif meanormedian == 'median':,0.0
160,"flux_dataframe['flux'].abs() < flux_threshold, 'flux'] = 0",1.0
161,"if self.test_method_validity(T, P, zs, ws, method):",0.0
162,"elif isinstance(lclistpkl, dict):",0.0
163,"path = os.path.join(samplepath, file)",0.0
164,Find a replaceable CHECK-like macro.,1.0
165,data = field.firstChild.data,0.0
166,!,1.0
167,"np.asarray(freqs[ix]),",0.0
168,删除空目录,1.0
169,resp = client.projects().serviceAccounts().getIamPolicy(,0.0
170,wont use triple-nested media queries.,1.0
171,'align',1.0
172,check if there is an left_message for this task,1.0
173,----------,1.0
174,"(The ``machst`` field could be used to obtain endianness, but",1.0
175,h = float(y + z),0.0
176,return value,0.0
177,return safe_parse(resp),0.0
178,because from left to right to handle each level,1.0
179,"'csr', etc.  None means that sparse matrix input will raise an error.",1.0
180,where :math:`F_s` is the sampling frequency and :math:`|W| < F_s/2`.,1.0
181,field_gridcolor : str,1.0
182,allocations = db_api.segment_allocation_find(,0.0
183,"Flag that the last entry was a grouping, so that we don't panic",1.0
184,else:,0.0
185,"ret = nx.grid_2d_graph(length + 2, length)",0.0
186,simple['datetime'] = simple['dateobj'].strftime(datetime_format),0.0
187,LOGGER.info(inst),0.0
188,predicate.__doc__),0.0
189,for sname in data.barcodes:,0.0
190,if altchars is not None:,0.0
191,"group_details = get_group_api(group['GroupName'], **conn)",0.0
192,else:,0.0
193,self.setSweep(1),0.0
194,:param child: Primary key of child node to be disassociated.,1.0
195,"ret = ftdi.write_data(self._ctx, string);",0.0
196,The second tuple value contains the actual distribution.,1.0
197,failures: A list of users who could not be enrolled in the course,1.0
198,obj (array_like or scalar): one of the inputs to a ufunc,1.0
199,transition : KEY END_KWD NULL_KWD FLOAT,1.0
200,return nameList,0.0
201,elif pt.cmd == LINETO:,0.0
202,return (A+B*((C/T)**2*exp(C/T)/(exp(C/T) - 1)**2) +,0.0
203,"context = self._build_context(request, enterprise_customer_uuid)",0.0
204,"result = subprocess.run(['python2', os.path.join(self.datadir, 'MS17-010', 'eternalblue_exploit7.py'), str(ip), os.path.join(self.datadir, 'final_combined.bin'), ""12""], stdout=subprocess.PIPE, stderr=subprocess.PIPE)",0.0
205,pragma: no cover,1.0
206,finalimage /= float(samples),0.0
207,if os.path.exists(adapter_seqs_file.name):,0.0
208,float: CDS fit score,1.0
209,parameters['producerRevision'] = producer_revision,0.0
210,if max_cluster_size_sample_std:,0.0
211,"_('Enterprise customer {uuid} not found, or not active').format(uuid=uuid))",0.0
212,Return the top 10 customers:,1.0
213,return headers,0.0
214,for pmid in get_pubmed_identifiers(graph):,0.0
215,"Co-ordinates are 1 based, as listed in the status area of the",1.0
216,Not currently supported:,1.0
217,if self._payload:,0.0
218,The word to fingerprint,1.0
219,if len(code) > max_length and code[-1:] == 'S':,0.0
220,:type filename: str or pandas.DataFrame,1.0
221,if should_plot_absolute_signal_to_noise_map:,0.0
222,name=name,0.0
223,":returns: a list of tuples (message_string, message_level), one for each",1.0
224,if is_method and expected - actual == 1:,0.0
225,"data[""email""] = self._confirmation.email.email",0.0
226,"edge_color = matplotlib.colors.to_rgba('black', alpha=1.0)",0.0
227,Image-like array to pad.,1.0
228,"environ[""wsgidav.all_input_read""] = 1",0.0
229,5) Starts before 'since' and ends after 'until',1.0
230,max_size : :obj:`tuple` or :obj:`list` of :obj:`int`,1.0
231,Translates a register ID from the disassembler object into the,1.0
232,"notes_label=notes_label, desc_label=desc_label,",0.0
233,if client_id != nonce['client_id']:,0.0
234,"new_subs.append(('c', value))",0.0
235,"return vectorize(ufunc.__call__)(inputs[0], **kwargs)",0.0
236,weights = np.diag(np.ones(k+1))[k],0.0
237,if seconds > period_seconds:,0.0
238,"data = data_cosine(N=2048, A=0.1, sampling=1024, freq=200)",1.0
239,"for fromdata,todata,flag in diffs:",0.0
240,"`lcfnamelist` to provide a list of light curve filenames directly, this",1.0
241,pattern: #.*,1.0
242,"X : {array-like, sparse matrix}, shape (n_samples, n_features)",1.0
243,if e.errno == socket.errno.EAGAIN or e.errno == socket.errno.EWOULDBLOCK:,0.0
244,"elif isinstance(start, int) and isinstance(end, int) and not (start <= end):",0.0
245,balance = voter_dict[i]['balance'],0.0
246,on_data (function): Callback on data,1.0
247,else:,0.0
248,assert os.path.getsize(filename) > 0,0.0
249,was more than a year. A typical entry in an input file might look,1.0
250,"shape, pixels)",0.0
251,authn_policy = MultiAuthenticationPolicy(policies),0.0
252,result += self.Cp(Tmax)*(T - Tmax),0.0
253,self.accounts.append(new_account),0.0
254,if not db_address:,0.0
255,data:       Any data structure that supports slicing (i.e. list or tuple),1.0
256,"'--width',",0.0
