,token,count
0,(,2282843
1,),2250314
2,.,2245190
3,",",1877693
4,=,1618736
5,:,1290163
6,self,770509
7,],696978
8,[,696311
9,if,461023
10,return,272895
11,def,256059
12,in,242825
13,None,223302
14,for,170780
15,not,143497
16,-,137635
17,+,130674
18,else,123381
19,==,111080
20,{,102114
21,*,96928
22,},93412
23,is,91362
24,name,81136
25,%,76274
26,data,75275
27,np,72542
28,raise,71676
29,True,71415
30,False,70229
31,i,69312
32,len,67544
33,and,63931
34,format,62427
35,path,62125
36,append,61054
37,x,57682
38,value,56667
39,**,55365
40,elif,53811
41,/,52987
42,args,51445
43,kwargs,50468
44,get,49679
45,key,48254
46,except,47039
47,try,45614
48,os,42849
49,isinstance,42694
50,s,42447
51,str,40187
52,or,39674
53,+=,36477
54,v,33914
55,>,32229
56,result,32227
57,join,30746
58,int,29506
59,k,29491
60,n,29359
61,f,29007
62,!=,28476
63,ValueError,27695
64,as,27004
65,print,26978
66,type,25346
67,a,24877
68,list,24817
69,<,24318
70,p,24142
71,e,23790
72,cls,23202
73,line,22775
74,log,21953
75,d,21790
76,index,21421
77,debug,21279
78,r,21258
79,url,21029
80,c,20892
81,params,20880
82,t,20564
83,logger,20256
84,config,20136
85,range,20012
86,response,19904
87,with,19732
88,info,19693
89,shape,19103
90,request,19058
91,ret,18991
92,text,18955
93,y,18596
94,obj,18575
95,msg,18500
96,split,18484
97,filename,18114
98,m,17385
99,items,16988
100,node,16952
101,error,16927
102,values,16911
103,item,16541
104,tf,15383
105,start,14815
106,b,14635
107,float,14601
108,set,14462
109,id,14366
110,size,14359
111,dtype,14198
112,array,14132
113,keys,14115
114,continue,13897
115,time,13818
116,sys,13751
117,_,13506
118,dict,13496
119,import,13403
120,assert,13280
121,j,12984
122,to,12945
123,write,12695
124,val,12551
125,message,12463
126,res,12461
127,update,12367
128,model,12056
129,from,11859
130,open,11775
131,Exception,11408
132,while,11307
133,json,11268
134,the,11253
135,out,11205
136,axis,11072
137,headers,11025
138,options,10903
139,hasattr,10818
140,output,10727
141,match,10723
142,method,10592
143,default,10479
144,row,10468
145,state,10443
146,yield,10390
147,field,10292
148,event,10237
149,context,10149
150,func,10121
151,query,10071
152,file,10030
153,logging,9868
154,pass,9716
155,TypeError,9711
156,lambda,9695
157,idx,9602
158,group,9505
159,strip,9458
160,df,9442
161,->,9409
162,break,9395
163,user,9376
164,cmd,9362
165,timeout,9237
166,status,9118
167,parser,9023
168,count,9001
169,ax,9001
170,>=,8975
171,getattr,8916
172,re,8852
173,copy,8833
174,l,8809
175,lower,8765
176,target,8670
177,<=,8643
178,X,8617
179,parent,8608
180,replace,8592
181,end,8569
182,session,8531
183,max,8509
184,version,8387
185,source,8375
186,pop,8299
187,enumerate,8270
188,label,8180
189,title,8176
190,of,8161
191,startswith,8155
192,add,8103
193,mode,8055
194,client,8030
195,u,8015
196,action,8002
197,help,7980
198,sum,7836
199,offset,7754
200,token,7719
201,content,7657
202,w,7653
203,T,7634
204,utils,7607
205,code,7548
206,results,7436
207,read,7431
208,prefix,7429
209,root,7380
210,be,7323
211,string,7309
212,tuple,7308
213,g,7244
214,datetime,7200
215,body,7176
216,header,7059
217,columns,6970
218,pos,6948
219,&,6906
220,tag,6890
221,numpy,6872
222,close,6757
223,ctx,6659
224,h,6642
225,arg,6642
226,lines,6628
227,min,6623
228,opts,6611
229,table,6591
230,port,6553
231,color,6331
232,settings,6316
233,command,6235
234,width,6219
235,exists,6162
236,host,6158
237,fields,6156
238,metadata,6128
239,instance,6103
240,hparams,6071
241,C,6067
242,__name__,6042
243,verbose,6028
244,plt,5979
245,length,5910
246,extend,5857
247,image,5847
248,bool,5822
249,sorted,5803
250,description,5782
251,add_argument,5781
252,env,5768
253,zip,5720
254,base,5692
255,KeyError,5644
256,mask,5637
257,encoding,5537
258,q,5523
259,errors,5516
260,files,5492
261,err,5492
262,zeros,5478
263,del,5360
264,entry,5348
265,username,5348
266,namespace,5321
267,warning,5309
268,A,5291
269,app,5281
270,resp,5263
271,six,5252
272,location,5200
273,col,5176
274,address,5128
275,attr,5098
276,decode,5087
277,all,5023
278,names,4995
279,password,4968
280,labels,4965
281,op,4946
282,element,4942
283,load,4928
284,level,4904
285,filter,4893
286,exc,4845
287,payload,4845
288,limit,4786
289,pd,4783
290,encode,4780
291,other,4756
292,|,4713
293,o,4697
294,find,4692
295,attrs,4677
296,exception,4665
297,stdout,4660
298,resource,4632
299,module,4602
300,run,4595
301,word,4557
302,child,4557
303,//,4544
304,nodes,4503
305,height,4484
306,record,4476
307,await,4426
308,fname,4403
309,conn,4399
310,N,4377
311,remove,4332
312,super,4325
313,z,4294
314,tokens,4268
315,stream,4263
316,fn,4241
317,map,4205
318,timestamp,4198
319,abs,4195
320,task,4168
321,stats,4150
322,random,4132
323,dataset,4130
324,db,4073
325,stderr,4067
326,column,4050
327,dest,4049
328,tmp,4021
329,src,4011
330,alpha,4003
331,uri,3999
332,mean,3998
333,pattern,3986
334,param,3972
335,schema,3953
336,tags,3935
337,search,3929
338,rec,3896
339,date,3895
340,parts,3892
341,graph,3884
342,project,3883
343,objects,3871
344,now,3871
345,must,3835
346,warn,3788
347,exit,3776
348,callback,3753
349,argv,3750
350,flags,3737
351,dt,3731
352,cursor,3727
353,current,3718
354,new,3713
355,;,3701
356,endswith,3663
357,status_code,3662
358,socket,3647
359,order,3637
360,region,3633
361,next,3618
362,environ,3612
363,@,3611
364,sub,3606
365,req,3594
366,var,3587
367,reshape,3581
368,inputs,3577
369,api,3570
370,dot,3567
371,fmt,3566
372,__class__,3559
373,AttributeError,3551
374,connection,3537
375,requests,3530
376,doc,3518
377,loc,3517
378,input,3510
379,-=,3509
380,template,3484
381,plot,3476
382,block,3473
383,parameters,3466
384,any,3465
385,service,3459
386,weights,3438
387,dumps,3422
388,spec,3400
389,device,3385
390,ex,3336
391,parse,3322
392,indices,3309
393,dirname,3301
394,RuntimeError,3297
395,upper,3276
396,cache,3256
397,frame,3253
398,directory,3251
399,found,3237
400,sample,3231
401,section,3229
402,step,3216
403,sort,3200
